Evolución Nº de ingresos nuevos en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos Hospitalarios;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/07/04;11;3;2;2;1;0;0;0;0;0;1;1;0;0;1;0;0;;0;0;
2020/07/05;20;1;4;4;1;1;2;1;0;2;1;1;0;0;2;0;0;;0;0;
2020/07/06;44;11;12;5;4;2;2;0;1;0;2;1;1;0;0;1;0;;1;1;
2020/07/07;30;5;9;6;3;1;1;0;1;0;0;2;1;1;0;0;0;;0;0;
2020/07/08;38;7;5;8;3;2;4;1;2;1;1;1;0;1;0;1;0;;1;0;
2020/07/09;30;5;9;3;5;1;0;0;0;0;1;2;1;0;2;0;0;;1;0;
2020/07/10;41;7;8;10;6;2;3;1;2;0;0;0;0;0;2;0;0;;0;0;
2020/07/11;25;4;10;4;3;0;1;0;1;1;0;0;0;0;1;0;0;;0;0;
2020/07/12;22;6;2;3;4;2;0;0;1;1;0;0;0;0;1;2;0;;0;0;
2020/07/13;37;6;10;7;6;2;1;0;0;0;0;0;0;0;1;3;0;;1;0;
2020/07/14;38;4;5;11;4;7;3;1;0;0;1;1;0;0;1;0;0;;0;0;
2020/07/15;31;6;9;5;4;3;0;1;0;0;0;1;0;0;1;1;0;;0;0;
2020/07/16;31;8;4;5;2;0;1;0;2;2;0;1;0;0;4;0;0;;2;0;
2020/07/17;37;4;6;11;6;2;1;1;1;0;2;1;0;0;1;0;0;;1;0;
2020/07/18;20;4;7;2;1;3;0;0;1;;1;1;0;0;0;0;0;;0;0;
2020/07/19;16;3;4;0;3;0;0;0;0;4;0;1;0;0;1;0;0;;0;0;
2020/07/20;40;10;8;4;9;3;0;0;4;0;1;0;0;0;1;0;0;;0;0;
2020/07/21;36;8;4;5;7;4;1;0;0;0;1;2;0;0;1;3;0;;0;0;
2020/07/22;41;7;8;8;7;2;2;1;1;0;3;0;0;0;2;0;0;;0;0;
2020/07/23;31;4;7;6;5;1;0;0;0;3;2;0;0;0;3;0;0;;0;0;
2020/07/24;34;4;2;7;8;4;1;0;0;0;0;1;0;1;2;3;0;;1;0;
2020/07/25;24;2;5;1;8;1;0;1;1;0;0;1;0;0;2;2;0;;0;0;
2020/07/26;21;3;2;5;2;3;0;0;2;1;0;0;0;0;3;0;0;;0;0;
2020/07/27;43;9;5;11;5;1;1;0;4;0;3;0;0;0;3;1;0;;0;0;
2020/07/28;26;4;5;5;6;2;0;0;1;0;0;0;0;0;2;0;0;;1;0;
2020/07/29;37;11;6;6;6;0;1;0;2;0;1;2;0;0;2;0;0;;0;0;
2020/07/30;54;9;18;10;9;3;0;0;3;0;0;0;0;0;1;0;0;;1;0;
2020/07/31;33;6;6;3;6;2;2;0;1;1;1;2;0;0;3;0;0;;0;0;
2020/08/01;29;7;6;3;8;2;0;0;0;0;0;1;0;0;2;0;0;;0;0;
2020/08/02;27;5;2;0;9;5;0;0;1;0;0;0;0;0;3;0;0;;2;0;
2020/08/03;40;9;4;9;5;2;1;2;2;1;0;0;0;0;2;2;0;;1;0;
2020/08/04;43;7;8;7;10;3;1;0;1;1;3;0;0;1;1;0;0;;0;0;
2020/08/05;42;8;6;10;8;5;1;0;0;0;2;0;0;0;0;1;0;1;0;0;
2020/08/06;60;8;19;5;11;4;2;1;0;;4;2;0;0;3;0;0;0;0;1;
2020/08/07;62;15;10;6;9;7;2;0;5;2;2;0;0;0;2;0;0;0;2;0;
2020/08/08;36;11;4;5;4;1;0;0;1;1;1;0;0;0;8;0;0;0;0;0;
2020/08/09;28;5;5;3;3;2;2;0;3;1;1;0;0;0;3;0;0;0;0;0;
2020/08/10;60;8;6;12;13;5;1;2;4;1;0;2;0;0;5;0;0;0;1;0;
2020/08/11;51;5;8;7;11;6;1;1;0;0;0;1;0;0;7;2;0;0;2;0;
2020/08/12;71;12;14;7;22;4;1;0;4;0;0;0;0;1;6;0;0;0;0;0;
2020/08/13;66;14;18;5;8;2;2;1;7;1;1;3;0;0;4;0;0;0;0;0;
2020/08/14;62;18;17;4;13;3;2;0;1;2;0;0;1;0;1;0;0;0;0;0;
2020/08/15;38;7;4;7;7;6;2;0;0;1;0;0;0;0;4;0;0;0;0;0;
2020/08/16;45;9;12;4;12;1;1;0;2;0;1;0;0;0;2;1;0;0;0;0;
2020/08/17;59;15;9;7;14;4;0;0;2;0;2;0;1;0;5;0;0;0;0;0;
2020/08/18;55;8;13;13;13;4;0;0;1;0;0;0;0;0;2;0;0;0;1;0;
2020/08/19;68;12;12;12;14;4;3;1;4;0;0;0;0;0;5;1;0;0;0;0;
2020/08/20;81;14;13;9;18;8;0;0;3;0;2;1;0;0;13;0;0;0;0;0;
2020/08/21;64;14;9;9;9;7;0;0;1;3;3;1;0;0;6;2;0;0;0;0;
2020/08/22;50;9;7;4;11;5;1;;1;0;1;0;0;0;10;1;0;0;0;0;
2020/08/23;37;4;9;3;11;4;2;;0;0;0;0;0;0;4;0;0;0;0;0;
2020/08/24;64;5;9;17;9;6;2;3;1;2;2;0;0;0;8;0;0;0;0;0;
2020/08/25;61;7;10;12;14;4;1;3;0;2;0;0;1;0;6;0;0;0;1;0;
2020/08/26;66;10;14;12;10;4;4;0;3;0;2;1;0;1;4;0;0;0;1;0;
2020/08/27;77;11;16;9;18;6;1;0;2;1;1;1;0;0;9;1;0;0;1;0;
2020/08/28;77;14;17;15;6;7;3;3;1;1;0;0;1;0;7;2;0;0;0;0;
2020/08/29;47;9;8;11;8;2;3;0;0;0;0;0;0;0;6;0;0;0;0;0;
2020/08/30;36;6;4;10;9;3;0;1;0;1;1;0;0;0;1;0;0;0;0;0;
2020/08/31;69;16;9;13;12;9;1;0;2;1;1;0;1;0;4;0;0;0;0;0;
2020/09/01;98;23;14;13;19;3;2;1;1;2;3;1;0;0;14;1;0;0;1;0;
2020/09/02;87;21;14;23;13;6;0;1;0;2;0;2;0;0;4;0;0;0;1;0;
2020/09/03;82;14;16;16;19;3;2;4;0;1;1;0;0;1;4;0;0;0;1;0;
2020/09/04;81;9;16;21;15;9;1;0;2;1;0;0;0;0;7;0;0;0;0;0;
2020/09/05;61;13;13;13;8;6;1;1;1;0;0;0;0;0;5;0;0;0;0;0;
2020/09/06;53;12;7;10;9;3;1;3;1;0;2;0;0;0;4;1;0;0;0;0;
2020/09/07;67;7;10;17;11;3;4;1;3;1;1;3;0;1;4;1;0;0;0;0;
2020/09/08;89;13;20;19;9;4;4;1;1;1;5;1;0;0;10;1;0;0;0;0;
